ID	Gender	Age	Occupation
3015	M	25	17
3016	F	N/A	16
3017	M	45	6
3018	F	35	3
3019	F	35	1
3020	M	35	N/A
3021	M	25	20
3022	N/A	35	17
3023	M	25	7
3024	M	25	0
3025	M	25	17
3026	M	25	0
3027	M	50	19
3028	M	25	1
3029	M	25	3
3030	F	35	6
3031	N/A	45	N/A
3032	M	35	14
3033	M	50	12
3034	F	35	9
3035	N/A	35	7
3036	M	25	7
3037	M	25	12
3038	M	56	13
3039	F	18	0
3040	M	50	6
3041	M	25	15
3042	F	18	0
3043	F	N/A	7
3044	M	N/A	4
3045	F	35	N/A
3046	M	35	17
3047	F	25	1
3048	M	35	1
3049	M	N/A	7
3050	F	35	20
3051	M	50	0
3052	N/A	18	20
3053	M	N/A	7
3054	M	25	20
3055	F	35	9
3056	M	25	16
3057	M	45	17
3058	M	25	7
3059	N/A	25	0
3060	M	25	0
3061	M	25	20
3062	M	35	17
3063	M	18	4
3064	F	N/A	20
3065	M	18	0
3066	M	25	17
3067	M	35	6
3068	M	25	0
3069	M	50	7
3070	N/A	25	12
3071	F	1	10
3072	N/A	N/A	1
3073	M	25	0
3074	M	25	12
3075	M	N/A	13
3076	M	25	7
3077	M	35	7
3078	M	35	17
3079	M	35	12
3080	M	25	16
3081	F	1	N/A
3082	M	18	4
3083	M	25	17
3084	M	35	7
3085	M	18	4
3086	F	35	1
3087	M	25	7
3088	F	35	1
3089	F	N/A	N/A
3090	F	25	15
3091	M	N/A	1
3092	M	25	0
3093	M	35	N/A
3094	M	N/A	14
3095	F	35	0
3096	M	45	7
3097	M	25	15
3098	M	18	12
3099	M	35	7
3100	M	56	17
3101	M	50	13
3102	N/A	18	4
3103	M	35	0
3104	N/A	35	4
3105	M	N/A	14
3106	M	50	0
3107	M	18	14
3108	N/A	1	0
3109	N/A	18	5
3110	M	56	6
3111	M	18	4
3112	F	56	6
3113	F	25	20
3114	M	18	12
3115	F	35	17
3116	F	25	0
3117	M	45	11
3118	M	25	N/A
3119	M	56	7
3120	F	N/A	7
3121	M	N/A	N/A
3122	M	56	1
3123	M	18	N/A
3124	M	35	7
3125	M	18	4
3126	M	45	1
3127	F	25	16
3128	F	45	15
3129	F	25	N/A
3130	F	45	15
3131	F	18	1
3132	F	45	17
3133	F	50	9
3134	F	25	0
3135	M	18	10
3136	M	18	4
3137	F	18	0
3138	M	N/A	16
3139	F	45	1
3140	F	35	N/A
3141	M	N/A	7
3142	F	56	N/A
3143	F	1	10
3144	M	25	7
3145	F	18	0
3146	M	25	2
3147	F	25	N/A
3148	M	35	0
3149	N/A	1	N/A
3150	F	18	0
3151	M	35	14
3152	M	35	N/A
3153	F	25	N/A
3154	F	18	6
3155	F	1	10
3156	M	35	0
3157	M	N/A	1
3158	F	25	0
3159	F	18	14
3160	M	50	16
3161	F	N/A	1
3162	M	25	0
3163	M	56	0
3164	F	25	0
3165	N/A	25	7
3166	N/A	35	17
3167	F	25	N/A
3168	N/A	35	12
3169	M	N/A	12
3170	F	25	4
3171	N/A	45	1
3172	F	N/A	1
3173	F	N/A	14
3174	F	18	4
3175	N/A	45	17
3176	F	18	4
3177	F	18	4
3178	M	45	7
3179	N/A	N/A	18
3180	M	56	16
3181	M	45	1
3182	F	35	3
3183	M	25	20
3184	F	35	17
3185	M	35	12
3186	M	56	13
3187	M	35	11
3188	M	25	7
3189	F	35	20
3190	M	50	N/A
3191	M	50	0
3192	N/A	25	0
3193	F	25	7
3194	M	50	N/A
3195	M	45	16
3196	N/A	35	0
3197	M	25	6
3198	F	25	7
3199	M	45	16
3200	M	N/A	6
3201	M	25	1
3202	F	25	7
3203	M	N/A	0
3204	M	35	2
3205	M	25	18
3206	F	18	4
3207	N/A	35	7
3208	M	25	0
3209	N/A	50	17
3210	M	35	1
3211	M	N/A	20
3212	M	25	N/A
3213	M	18	4
3214	M	25	19
3215	M	18	4
3216	F	56	16
3217	M	18	4
3218	M	25	5
3219	N/A	25	3
3220	N/A	1	10
3221	M	18	0
3222	M	18	0
3223	F	25	0
3224	M	25	N/A
3225	M	25	1
3226	M	45	17
3227	N/A	18	16
3228	M	18	7
3229	F	45	0
3230	M	1	10
3231	M	18	4
3232	F	25	9
3233	M	35	1
3234	N/A	35	20
3235	M	25	20
3236	F	18	4
3237	M	25	17
3238	M	25	18
3239	M	N/A	18
3240	M	N/A	7
3241	M	45	0
3242	M	18	1
3243	M	25	N/A
3244	M	25	20
3245	M	35	7
3246	M	N/A	N/A
3247	M	25	11
3248	M	35	16
3249	M	25	7
3250	M	35	17
3251	M	35	17
3252	M	35	14
3253	F	18	N/A
3254	M	25	7
3255	M	50	7
3256	F	45	N/A
3257	M	18	N/A
3258	N/A	35	15
3259	M	N/A	2
3260	M	1	10
3261	F	18	1
3262	F	18	14
3263	M	25	17
3264	F	18	0
3265	F	45	9
3266	F	N/A	3
3267	M	25	17
3268	M	N/A	14
3269	F	18	N/A
3270	F	25	7
3271	N/A	35	11
3272	M	35	17
3273	M	25	17
3274	M	18	4
3275	N/A	25	7
3276	M	18	4
3277	M	25	17
3278	M	25	12
3279	M	45	7
3280	M	50	7
3281	F	N/A	10
3282	M	1	4
3283	M	25	12
3284	M	25	7
3285	N/A	56	17
3286	M	45	1
3287	F	56	3
3288	F	35	0
3289	M	25	5
3290	M	25	18
3291	F	25	14
3292	F	45	1
3293	M	18	0
3294	M	18	N/A
3295	M	1	10
3296	M	25	4
3297	M	N/A	17
3298	M	25	4
3299	F	25	9
3300	M	18	16
3301	M	N/A	14
3302	M	35	7
3303	F	45	1
3304	N/A	25	17
3305	M	25	7
3306	M	56	7
3307	M	35	19
3308	F	18	4
3309	M	56	13
3310	N/A	25	0
3311	N/A	25	0
3312	M	50	1
3313	N/A	25	0
3314	M	18	N/A
3315	M	18	18
3316	M	25	14
3317	F	25	N/A
3318	M	N/A	12
3319	M	45	7
3320	M	N/A	13
3321	N/A	25	12
3322	M	35	18
3323	M	35	7
3324	M	18	N/A
3325	F	18	17
3326	M	25	11
3327	M	35	6
3328	M	45	0
3329	M	25	12
3330	F	1	10
3331	M	45	2
3332	M	50	16
3333	N/A	1	4
3334	M	35	N/A
3335	M	50	11
3336	M	25	0
3337	M	25	20
3338	N/A	45	12
3339	F	25	7
3340	M	N/A	1
3341	M	N/A	N/A
3342	M	N/A	4
3343	M	56	N/A
3344	M	25	N/A
3345	M	25	11
3346	N/A	56	0
3347	F	25	6
3348	M	35	1
3349	N/A	25	14
3350	M	35	4
3351	F	45	16
3352	F	45	20
3353	N/A	45	9
3354	M	35	3
3355	M	25	2
3356	F	25	4
3357	M	25	7
3358	M	45	6
3359	M	18	4
3360	M	25	12
3361	F	25	7
3362	M	18	N/A
3363	N/A	35	0
3364	N/A	18	20
3365	F	N/A	8
3366	M	25	4
3367	M	56	17
3368	M	35	5
3369	M	25	N/A
3370	M	25	20
3371	M	35	3
3372	M	35	7
3373	M	45	7
3374	F	1	10
3375	M	35	0
3376	F	18	4
3377	N/A	50	1
3378	M	56	1
3379	N/A	35	1
3380	M	25	17
3381	M	56	0
3382	M	18	N/A
3383	M	1	10
3384	M	25	6
3385	M	50	16
3386	M	25	0
3387	M	18	4
3388	F	45	20
3389	M	35	16
3390	M	35	4
3391	F	45	1
3392	F	50	2
3393	M	25	3
3394	M	56	20
3395	M	35	0
3396	M	35	N/A
3397	M	18	20
3398	M	N/A	4
3399	M	25	20
3400	M	25	7
3401	M	50	11
3402	N/A	35	1
3403	M	35	16
3404	M	50	17
3405	M	25	17
3406	M	25	0
3407	N/A	35	6
3408	F	N/A	4
3409	M	25	7
3410	M	1	10
3411	F	18	0
3412	M	N/A	12
3413	M	18	16
3414	M	25	14
3415	M	18	14
3416	F	56	N/A
3417	M	45	N/A
3418	M	18	0
3419	M	45	18
3420	M	35	14
3421	M	25	19
3422	M	45	3
3423	M	25	12
3424	M	50	1
3425	M	50	N/A
3426	M	45	N/A
3427	M	50	17
3428	F	18	4
3429	F	18	4
3430	M	18	4
3431	M	45	18
3432	M	18	6
3433	M	35	7
3434	F	45	6
3435	M	35	7
3436	M	18	16
3437	F	18	4
3438	F	18	4
3439	M	18	4
3440	M	35	6
3441	N/A	25	4
3442	M	25	6
3443	M	25	N/A
3444	M	45	7
3445	M	25	11
3446	M	35	7
3447	N/A	35	15
3448	F	1	10
3449	M	18	7
3450	M	25	N/A
3451	F	35	20
3452	M	18	4
3453	F	1	7
3454	M	45	7
3455	M	35	0
3456	F	35	11
3457	F	18	5
3458	F	25	4
3459	M	45	20
3460	M	18	4
3461	M	35	N/A
3462	M	18	0
3463	M	N/A	7
3464	F	25	15
3465	F	1	10
3466	M	35	20
3467	F	25	1
3468	F	50	7
3469	F	56	13
3470	M	25	14
3471	M	45	2
3472	M	25	4
3473	M	18	4
3474	M	N/A	4
3475	M	45	3
3476	M	35	17
3477	M	18	12
3478	M	25	0
3479	F	18	4
3480	M	35	0
3481	M	25	14
3482	M	25	11
3483	M	25	4
3484	M	N/A	7
3485	F	1	0
3486	M	25	7
3487	M	50	16
3488	M	35	12
3489	M	25	4
3490	M	N/A	7
3491	F	56	13
3492	F	35	9
3493	F	56	1
3494	M	45	12
3495	M	56	7
3496	M	25	0
3497	M	35	1
3498	N/A	25	4
3499	M	25	17
3500	M	35	1
3501	M	25	4
3502	N/A	18	0
3503	M	25	7
3504	M	N/A	4
3505	M	N/A	2
3506	M	25	0
3507	N/A	35	14
3508	M	35	7
3509	M	25	0
3510	M	18	4
3511	M	25	2
3512	N/A	56	0
3513	M	35	20
3514	M	25	15
3515	M	50	14
3516	N/A	25	6
3517	M	25	17
3518	M	25	7
3519	N/A	18	4
3520	M	18	17
3521	M	N/A	1
3522	M	18	2
3523	F	N/A	1
3524	M	50	13
3525	F	45	12
3526	F	18	4
3527	M	25	14
3528	M	18	10
3529	M	18	4
3530	M	N/A	N/A
3531	N/A	35	20
3532	M	50	1
3533	N/A	35	14
3534	M	25	8
3535	F	45	16
3536	F	50	1
3537	N/A	18	3
3538	M	N/A	7
3539	M	50	1
3540	N/A	45	N/A
3541	M	45	12
3542	F	18	0
3543	F	45	N/A
3544	N/A	25	N/A
3545	M	18	1
3546	M	N/A	0
3547	M	35	11
3548	M	N/A	0
3549	M	35	17
3550	F	35	6
3551	N/A	35	N/A
3552	F	18	14
3553	N/A	50	7
3554	N/A	18	N/A
3555	F	56	16
3556	M	25	19
3557	M	1	10
3558	F	35	9
3559	F	18	4
3560	N/A	25	16
3561	M	35	7
3562	N/A	35	N/A
3563	M	25	6
3564	M	35	7
3565	M	N/A	N/A
3566	M	35	20
3567	F	45	1
3568	N/A	45	0
3569	N/A	N/A	12
3570	M	18	N/A
3571	F	25	N/A
3572	M	50	N/A
3573	M	18	12
3574	M	N/A	7
3575	N/A	25	0
3576	M	25	12
3577	M	25	16
3578	M	45	N/A
3579	F	18	2
3580	M	18	4
3581	M	45	14
3582	M	25	19
3583	M	45	1
3584	M	35	12
3585	M	N/A	7
3586	M	25	20
3587	M	25	0
3588	M	25	N/A
3589	M	45	14
3590	M	35	20
3591	N/A	18	4
3592	F	1	10
3593	M	25	17
3594	F	18	17
3595	M	18	12
3596	M	25	4
3597	M	35	N/A
3598	F	25	9
3599	M	35	14
3600	F	25	14
3601	M	18	1
3602	F	56	12
3603	M	N/A	17
3604	M	35	N/A
3605	M	35	5
3606	M	18	16
3607	M	18	4
3608	N/A	50	16
3609	M	45	N/A
3610	M	N/A	4
3611	M	35	1
3612	M	45	7
3613	M	25	2
3614	M	45	14
3615	M	N/A	16
3616	M	50	1
3617	F	25	14
3618	M	45	14
3619	F	35	0
3620	M	35	N/A
3621	M	1	10
3622	F	35	7
3623	M	25	12
3624	M	50	2
3625	M	45	17
3626	M	25	12
3627	F	18	14
3628	F	18	4
3629	M	18	20
3630	F	50	9
3631	M	45	20
3632	M	25	N/A
3633	F	N/A	1
3634	F	35	3
3635	M	18	17
3636	M	N/A	2
3637	M	25	18
3638	M	N/A	17
3639	M	56	14
3640	M	50	6
3641	M	18	4
3642	M	35	7
3643	M	35	N/A
3644	N/A	25	16
3645	F	45	3
3646	M	25	0
3647	N/A	50	7
3648	M	35	7
3649	M	35	12
3650	M	35	7
3651	M	N/A	20
3652	M	25	14
3653	M	25	7
3654	F	25	12
3655	F	25	7
3656	M	N/A	12
3657	M	35	N/A
3658	N/A	25	N/A
3659	F	56	N/A
3660	M	45	7
3661	F	35	3
3662	N/A	25	2
3663	M	18	12
3664	F	N/A	4
3665	M	25	7
3666	M	25	12
3667	M	1	0
3668	M	35	12
3669	N/A	25	6
3670	M	25	12
3671	M	45	1
3672	F	45	0
3673	M	25	17
3674	M	25	N/A
3675	M	N/A	5
3676	M	35	12
3677	M	25	3
3678	M	35	1
3679	F	50	7
3680	F	25	N/A
3681	F	35	0
3682	F	35	5
3683	M	25	12
3684	M	25	0
3685	F	25	2
3686	M	18	4
3687	F	50	20
3688	M	25	20
3689	M	50	20
3690	N/A	25	2
3691	M	25	15
3692	N/A	25	20
3693	M	56	1
3694	M	35	15
3695	M	N/A	14
3696	M	50	0
3697	M	25	5
3698	M	18	20
3699	M	25	12
3700	M	25	7
3701	N/A	N/A	7
3702	M	35	17
3703	N/A	18	4
3704	M	25	N/A
3705	M	N/A	6
3706	M	18	N/A
3707	M	25	7
3708	M	25	7
3709	N/A	18	N/A
3710	M	25	7
3711	F	25	17
3712	M	25	0
3713	M	35	17
3714	M	N/A	3
3715	F	35	7
3716	M	25	4
3717	M	45	0
3718	N/A	25	18
3719	M	18	4
3720	M	35	7
3721	M	25	N/A
3722	F	35	0
3723	M	56	7
3724	F	25	0
3725	M	25	5
3726	N/A	25	20
3727	M	18	11
3728	M	35	7
3729	M	25	14
3730	M	56	1
3731	M	25	2
3732	M	18	14
3733	F	35	12
3734	M	35	1
3735	M	25	0
3736	M	50	18
3737	N/A	50	N/A
3738	M	18	17
3739	M	25	11
3740	F	50	3
3741	M	25	0
3742	F	50	18
3743	M	25	14
3744	M	N/A	12
3745	M	N/A	14
3746	F	18	4
3747	F	18	17
3748	M	18	19
3749	F	N/A	3
3750	F	45	N/A
3751	F	45	0
3752	N/A	35	20
3753	M	18	4
3754	M	45	20
3755	M	56	6
3756	N/A	45	17
3757	F	25	14
3758	M	N/A	18
3759	M	18	4
3760	M	N/A	12
3761	M	35	N/A
3762	M	35	18
3763	N/A	35	16
3764	M	56	1
3765	F	35	1
3766	M	18	0
3767	M	35	2
3768	M	25	17
3769	M	56	13
3770	F	25	0
3771	F	25	0
3772	M	N/A	1
3773	N/A	N/A	N/A
3774	M	56	15
3775	M	18	10
3776	M	25	12
3777	M	35	0
3778	F	50	N/A
3779	M	N/A	1
3780	F	N/A	N/A
3781	M	25	4
3782	M	18	10
3783	F	25	3
3784	M	18	12
3785	F	50	2
3786	M	50	7
3787	M	35	16
3788	M	25	20
3789	M	25	0
3790	N/A	18	4
3791	M	50	7
3792	M	25	17
3793	F	50	12
3794	F	35	1
3795	F	25	N/A
3796	M	18	4
3797	F	18	4
3798	M	18	4
3799	F	18	4
3800	F	35	12
3801	M	50	11
3802	M	25	N/A
3803	F	25	1
3804	M	25	14
3805	M	25	0
3806	M	25	12
3807	M	1	10
3808	N/A	N/A	4
3809	M	1	10
3810	M	56	17
3811	N/A	25	2
3812	M	18	N/A
3813	M	25	11
3814	M	18	4
3815	F	18	4
3816	M	56	1
3817	M	25	11
3818	M	45	7
3819	F	18	4
3820	M	25	N/A
3821	F	25	16
3822	F	N/A	10
3823	M	18	4
3824	M	25	14
3825	M	25	1
3826	M	25	17
3827	F	18	4
3828	M	50	0
3829	N/A	56	17
3830	M	N/A	1
3831	M	25	15
3832	M	25	6
3833	M	18	1
3834	F	25	0
3835	M	45	17
3836	M	35	N/A
3837	M	25	12
3838	M	56	13
3839	N/A	45	17
3840	M	50	12
3841	N/A	50	11
3842	M	25	14
3843	F	35	4
3844	F	45	4
3845	M	18	1
3846	F	45	6
3847	M	25	6
3848	M	56	1
3849	M	35	16
3850	F	1	10
3851	M	N/A	7
3852	M	25	7
3853	M	50	12
3854	M	N/A	2
3855	M	35	7
3856	M	25	3
3857	M	45	0
3858	F	25	2
3859	M	25	5
3860	F	18	N/A
3861	M	25	0
3862	M	18	0
3863	M	25	7
3864	M	25	17
3865	M	25	N/A
3866	N/A	35	7
3867	F	35	9
3868	F	25	1
3869	M	25	1
3870	M	25	19
3871	M	56	13
3872	M	25	0
3873	F	50	N/A
3874	F	35	12
3875	N/A	18	1
3876	M	35	1
3877	M	18	4
3878	F	N/A	1
3879	M	25	N/A
3880	F	45	13
3881	M	35	N/A
3882	F	25	2
3883	M	18	4
3884	M	25	N/A
3885	M	35	12
3886	F	18	2
3887	M	N/A	16
3888	M	35	N/A
3889	F	25	7
3890	F	35	20
3891	M	35	20
3892	M	50	1
3893	M	N/A	4
3894	M	35	17
3895	N/A	25	4
3896	M	N/A	20
3897	N/A	25	3
3898	N/A	18	1
3899	M	18	12
3900	F	1	10
3901	M	35	17
3902	N/A	56	N/A
3903	M	18	0
3904	M	N/A	0
3905	F	N/A	1
3906	M	35	11
3907	N/A	25	N/A
3908	M	45	11
3909	F	25	7
3910	M	18	8
3911	N/A	1	N/A
3912	M	18	0
3913	M	56	7
3914	M	45	14
3915	M	N/A	15
3916	M	25	17
3917	F	N/A	0
3918	M	18	16
3919	M	25	17
3920	F	35	0
3921	F	18	4
3922	M	25	0
3923	M	N/A	N/A
3924	N/A	45	1
3925	M	35	7
3926	M	56	13
3927	F	35	0
3928	M	25	17
3929	F	N/A	4
3930	F	35	1
3931	M	56	13
3932	M	25	7
3933	M	18	20
3934	F	25	4
3935	N/A	35	1
3936	N/A	56	14
3937	F	25	12
3938	M	18	4
3939	M	45	1
3940	F	25	14
3941	N/A	35	6
3942	M	25	5
3943	M	25	0
3944	M	25	14
3945	M	35	1
3946	M	50	13
3947	M	25	N/A
3948	M	25	2
3949	M	18	N/A
3950	M	25	1
3951	M	50	16
3952	F	50	14
3953	M	50	17
3954	M	25	16
3955	M	35	14
3956	M	35	7
3957	M	35	7
3958	M	25	4
3959	F	25	4
3960	N/A	N/A	12
3961	M	25	3
3962	F	35	N/A
3963	M	25	12
3964	M	25	12
3965	M	25	5
3966	M	25	12
3967	M	18	19
3968	M	50	N/A
3969	M	18	4
3970	N/A	18	4
3971	M	18	15
3972	F	N/A	5
3973	M	25	0
3974	M	18	4
3975	M	45	0
3976	F	25	4
3977	F	45	6
3978	M	25	2
3979	M	56	13
3980	M	1	10
3981	F	18	17
3982	M	N/A	N/A
3983	F	50	13
3984	M	50	6
3985	M	25	2
3986	M	25	11
3987	F	35	6
3988	N/A	56	2
3989	M	N/A	14
3990	M	18	N/A
3991	M	45	N/A
3992	M	25	4
3993	F	25	20
3994	F	45	N/A
3995	M	35	7
3996	M	1	10
3997	M	18	4
3998	M	18	0
3999	M	35	7
4000	F	18	14
4001	F	N/A	1
4002	M	50	6
4003	F	25	20
4004	M	25	11
4005	M	50	12
4006	F	25	1
4007	N/A	N/A	6
4008	M	25	12
4009	M	N/A	13
4010	N/A	18	2
4011	M	18	4
4012	M	18	N/A
4013	F	25	17
4014	M	56	7
4015	M	25	17
4016	M	45	20
4017	F	25	11
4018	M	45	N/A
4019	N/A	45	11
4020	M	25	16
4021	M	18	4
4022	M	56	7
4023	M	56	1
4024	F	18	4
4025	M	45	17
4026	F	50	1
4027	M	18	4
4028	M	25	0
4029	M	25	14
4030	M	25	17
4031	M	45	16
4032	F	25	6
4033	M	35	N/A
4034	N/A	25	15
4035	M	45	6
4036	M	50	1
4037	M	50	14
4038	M	25	8
4039	F	25	4
4040	M	25	0
4041	M	25	7
4042	N/A	35	N/A
4043	M	25	2
4044	N/A	18	4
4045	M	18	19
4046	M	25	0
4047	N/A	50	9
4048	M	25	20
4049	M	56	13
4050	M	25	2
4051	M	18	N/A
4052	M	1	10
4053	N/A	25	N/A
4054	M	50	7
4055	M	50	N/A
4056	F	25	2
4057	N/A	25	17
4058	F	25	5
4059	M	N/A	10
4060	M	50	1
4061	F	1	10
4062	F	25	20
4063	M	25	17
4064	F	35	3
4065	M	25	1
4066	F	45	0
4067	N/A	18	N/A
4068	M	45	3
4069	M	25	20
4070	N/A	N/A	14
4071	M	35	7
4072	M	1	10
4073	M	35	18
4074	F	56	9
4075	F	1	10
4076	M	50	6
4077	F	25	0
4078	F	50	1
4079	F	50	20
4080	M	18	2
4081	F	18	4
4082	M	35	17
4083	M	25	7
4084	M	35	12
4085	M	25	12
4086	M	25	N/A
4087	M	35	1
4088	M	35	7
4089	M	35	N/A
4090	N/A	25	20
4091	M	35	14
4092	M	45	1
4093	M	18	7
4094	F	18	9
4095	M	25	4
4096	M	N/A	5
4097	F	50	1
4098	M	35	17
4099	M	25	14
4100	M	25	12
4101	F	N/A	4
4102	M	35	12
4103	M	N/A	0
4104	M	N/A	10
4105	M	25	0
4106	F	18	4
4107	F	18	4
4108	M	35	7
4109	M	25	7
4110	M	45	7
4111	M	18	17
4112	M	25	16
4113	M	N/A	16
4114	M	25	7
4115	M	35	17
4116	M	35	1
4117	M	25	2
4118	M	25	N/A
4119	M	18	2
4120	F	25	4
4121	M	35	6
4122	M	50	6
4123	F	25	17
4124	F	45	16
4125	M	35	7
4126	M	18	0
4127	N/A	18	1
4128	F	56	2
4129	M	25	N/A
4130	M	35	12
4131	F	25	N/A
4132	F	35	2
4133	M	25	0
4134	M	25	1
4135	M	25	5
4136	F	25	7
4137	M	56	7
4138	F	35	17
4139	M	45	11
4140	N/A	18	4
4141	F	18	4
4142	F	45	20
4143	N/A	35	16
4144	N/A	25	1
4145	M	N/A	11
4146	M	1	10
4147	F	18	N/A
4148	M	25	N/A
4149	F	25	12
4150	M	N/A	7
4151	M	18	N/A
4152	M	56	7
4153	F	56	1
4154	F	25	17
4155	M	N/A	7
4156	N/A	35	1
4157	M	25	7
4158	N/A	18	4
4159	M	50	17
4160	M	18	4
4161	F	25	14
4162	F	35	1
4163	M	25	17
4164	M	18	19
4165	F	35	7
4166	M	50	6
4167	N/A	56	3
4168	F	50	N/A
4169	M	25	3
4170	M	18	4
4171	M	56	13
4172	M	N/A	17
4173	N/A	18	4
4174	M	N/A	0
4175	F	18	4
4176	M	N/A	2
4177	F	25	11
4178	N/A	45	N/A
4179	N/A	25	7
4180	M	45	17
4181	F	35	N/A
4182	M	25	N/A
4183	F	25	17
4184	F	18	N/A
4185	F	18	1
4186	M	35	13
4187	F	56	9
4188	M	N/A	17
4189	N/A	18	2
4190	M	45	1
4191	N/A	18	N/A
4192	M	18	4
4193	M	25	17
4194	F	45	7
4195	M	45	0
4196	M	35	6
4197	M	N/A	15
4198	M	18	7
4199	M	25	17
4200	M	18	2
4201	M	35	7
4202	M	25	2
4203	F	25	20
4204	M	50	7
4205	N/A	56	N/A
4206	M	25	12
4207	M	18	4
4208	M	35	17
4209	F	18	1
4210	N/A	18	12
4211	M	18	4
4212	M	18	20
4213	N/A	N/A	20
4214	M	1	10
4215	F	25	0
4216	F	35	1
4217	M	50	20
4218	M	25	2
4219	F	18	4
4220	F	18	1
4221	F	45	16
4222	N/A	45	18
4223	N/A	1	10
4224	F	25	1
4225	M	45	14
4226	M	25	1
4227	M	18	4
4228	M	45	17
4229	M	18	18
4230	N/A	45	9
4231	F	35	9
4232	F	35	N/A
4233	M	56	7
4234	F	50	4
4235	M	25	15
4236	F	45	1
4237	M	18	4
4238	M	25	12
4239	M	18	5
4240	F	50	6
4241	M	1	10
4242	M	50	1
4243	M	25	20
4244	M	N/A	1
4245	M	25	20
4246	M	25	12
4247	M	35	17
4248	M	45	0
4249	M	25	14
4250	F	25	6
4251	M	N/A	0
4252	M	25	16
4253	M	N/A	7
4254	F	25	17
4255	M	35	7
4256	N/A	25	4
4257	M	56	1
4258	M	56	13
4259	M	50	1
4260	N/A	45	11
4261	F	56	13
4262	M	35	14
4263	M	25	4
4264	M	50	N/A
4265	M	56	13
4266	M	25	7
4267	M	35	17
4268	M	18	4
4269	F	25	N/A
4270	F	18	4
4271	F	35	1
4272	N/A	1	10
4273	M	25	20
4274	F	25	3
4275	M	N/A	0
4276	M	50	0
4277	F	25	0
4278	N/A	45	17
4279	M	N/A	12
4280	F	1	10
4281	M	35	7
4282	M	25	14
4283	F	25	12
4284	M	25	6
4285	M	N/A	4
4286	M	25	0
4287	F	18	N/A
4288	M	25	14
4289	M	35	15
4290	M	25	12
4291	M	35	7
4292	M	1	10
4293	M	35	1
4294	M	18	4
4295	N/A	45	16
4296	M	45	7
4297	M	25	7
4298	N/A	25	4
4299	M	25	4
4300	F	25	9
4301	F	25	9
4302	F	35	0
4303	F	25	2
4304	M	18	2
4305	M	56	13
4306	M	N/A	12
4307	M	25	12
4308	M	N/A	N/A
4309	F	56	1
4310	M	N/A	4
4311	M	N/A	7
4312	M	25	2
4313	M	25	1
4314	M	N/A	1
4315	M	25	0
4316	F	35	20
4317	M	35	6
4318	M	N/A	1
4319	F	25	0
4320	M	45	4
4321	F	18	4
4322	F	1	1
4323	M	25	12
4324	F	35	11
4325	M	50	1
4326	N/A	18	1
4327	N/A	45	18
4328	M	25	7
4329	M	25	14
4330	M	25	17
4331	M	25	20
4332	M	18	4
4333	N/A	56	3
4334	M	25	4
4335	M	N/A	7
4336	N/A	45	6
4337	M	45	1
4338	M	35	16
4339	M	35	N/A
4340	F	45	0
4341	M	25	1
4342	M	N/A	4
4343	M	25	14
4344	M	N/A	7
4345	M	25	4
4346	F	35	0
4347	M	25	4
4348	F	25	14
4349	N/A	25	0
4350	M	35	N/A
4351	M	18	N/A
4352	M	35	15
4353	M	25	N/A
4354	M	18	3
4355	M	50	16
4356	M	25	4
4357	M	25	20
4358	M	56	7
4359	M	50	16
4360	M	18	20
4361	M	35	20
4362	N/A	25	2
4363	M	18	4
4364	N/A	56	3
4365	F	45	7
4366	M	25	4
4367	F	N/A	6
4368	M	25	5
4369	M	25	7
4370	F	50	18
4371	F	35	1
4372	M	56	8
4373	F	50	13
4374	M	35	20
4375	M	50	6
4376	F	N/A	2
4377	N/A	N/A	4
4378	M	25	N/A
4379	M	45	N/A
4380	M	35	0
4381	M	25	2
4382	F	25	14
4383	M	56	13
4384	M	45	0
4385	F	25	7
4386	F	25	20
4387	F	25	N/A
4388	M	18	10
4389	M	N/A	7
4390	F	25	1
4391	M	35	3
4392	M	35	15
4393	F	25	6
4394	N/A	25	12
4395	F	N/A	1
4396	F	56	1
4397	M	25	12
4398	M	25	2
4399	F	35	6
4400	M	25	11
4401	M	35	5
4402	M	25	1
4403	N/A	18	4
4404	M	18	1
4405	N/A	45	16
4406	F	25	N/A
4407	M	45	11
4408	M	35	1
4409	N/A	50	0
4410	M	25	5
4411	N/A	N/A	7
4412	M	25	8
4413	M	18	20
4414	M	1	10
4415	M	25	17
4416	M	N/A	14
4417	M	35	N/A
4418	M	25	4
4419	F	50	6
4420	M	25	1
4421	M	18	N/A
4422	M	25	7
4423	M	45	N/A
4424	F	35	3
4425	M	25	1
4426	F	18	4
4427	M	50	7
4428	M	25	1
4429	M	25	17
4430	M	N/A	16
4431	M	25	17
4432	F	25	N/A
4433	M	25	18
4434	M	18	2
4435	M	N/A	14
4436	M	35	17
4437	M	25	15
4438	M	18	4
4439	N/A	35	12
4440	M	18	2
4441	F	25	6
4442	M	45	16
4443	M	56	16
4444	M	50	12
4445	M	25	7
4446	F	25	9
4447	F	45	7
4448	F	18	7
4449	M	50	16
4450	M	25	7
4451	F	N/A	4
4452	F	56	11
4453	F	25	3
4454	F	35	2
4455	M	18	4
4456	F	50	0
4457	M	45	0
4458	N/A	18	3
4459	F	25	N/A
4460	M	45	15
4461	M	1	10
4462	M	25	15
4463	F	25	N/A
4464	N/A	25	3
4465	F	25	14
4466	M	25	7
4467	M	35	N/A
